kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,rata_rata_ketinggian_air,tanggal_kejadian,frekuensi_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,PALMERAH,JATI PULO,"rw 05,  09",2,5,0,0,25,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Barat,PALMERAH,KEMANGGISAN,rw 09,1,1,0,0,25,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,PALMERAH,KOTA BAMBU SELATAN,"rw 01, 02, 05",3,3,21,85,30,"23, 25  februari",2,0,0,0,0,85,1,0,0
Jakarta Barat,PALMERAH,KOTA BAMBU UTARA,rw 02,1,1,0,0,25,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,TAMAN SARI,TANGKI,"rw 02, 07",2,18,0,0,35,25 februari,1,1,0,0,0,0,0,0,0
Jakarta Barat,TAMAN SARI,MANGGA BESAR,rw 01,1,1,0,0,35,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Barat,TAMBORA,PEKOJAN,rw 12,1,1,0,0,40,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,CILANDAK BARAT,rw 02,1,1,0,0,65,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,CIPETE SELATAN,"rw 01, 07",2,2,0,0,30,"22, 23  februari",2,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,PONDOK LABU,rw 03,1,1,0,0,20,22 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,JAGAKARSA,TANJUNG BARAT,"rw 05, ",1,2,0,0,55,"8, 20, 25 februari",3,0,0,0,0,0,0,0,0
Jakarta Selatan,JAGAKARSA,CIPEDAK,rw 06,1,1,0,0,15,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN BARU,KRAMAT PELA,"rw 08, 09",2,2,0,0,15,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,"rw 01, 02, 03, 07",4,4,0,0,17,"2, 8, 25 februari",3,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN BARU,PULO,rw 03,1,1,0,0,15,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN BARU,CIPETE UTARA,"rw 06, 10",2,2,0,0,15,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,"rw 07, 10",2,2,0,0,100,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,rw 04,1,1,0,0,20,"20, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,"rw 01,  05, ",2,5,0,0,35,"20, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,"rw 01, 06",2,2,0,0,20,"23, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,KUNINGAN BARAT,"rw 04, 05",2,2,0,0,20,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,MAMPANG PRAPATAN,"rw 05, ",1,3,0,0,120,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,"rw 04, 06",2,2,0,0,20,"22, 25  februari",1,0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,CIKOKO,"rw 01, 04",2,2,0,0,22,"8,23 februari",1,0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,PENGADEGAN,"rw 01, 02, 07",3,3,32,121,100,"8, 20, 22, 23, 24  februari",5,0,0,0,0,121,1,0,0
Jakarta Selatan,PANCORAN,RAWAJATI,"rw 01, 03, 06, 07",4,4,109,282,200,"8, 20, 22, 24  februari",4,1,0,0,0,282,3,0,0
Jakarta Selatan,PANCORAN,DUREN TIGA,"rw 05, ",1,1,0,0,60,"22, 23, 25  februari",3,1,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,JATI PADANG,rw 06,1,4,0,0,35,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,KEBAGUSAN,"rw 06, 07",2,3,0,0,23,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,"rw 03, 04, 05, 06, 07, 08, 09, 10, 11, 12 ",10,14,132,329,75,"8, 16, 20, 24 februari",4,0,0,0,0,0,0,0,0
